current_ranking,player_name,return_break_point_opportunities,return_break_points_converted_percent,return_first_serve_points_won_percent,return_games_played,return_games_won_percent,return_points_won_percent,return_second_serve_points_won_percent,total_points_won_percent,service_aces,service_break_points_faced,service_break_points_saved_percent,service_double_faults,service_first_serve_percent,service_first_serve_points_won_percent,service_games_played,service_games_won_percent,service_points_won_percent,service_second_serve_points_won_percent,surface,url,year
1,Novak Djokovic,0,0%,0%,0,0%,0%,0%,0%,0,0,0%,0,0%,0%,0,0%,0%,0%,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=0-100,2004
63,Feliciano Lopez,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=0-100,1998
62,Ugo Humbert,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=0-100,2018
61,John Millman,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=0-100,2010
60,Cameron Norrie,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=0-100,2017
59,Yoshihito Nishioka,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=0-100,2014
58,Daniel Evans,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=0-100,2008
57,Adrian Mannarino,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=0-100,2008
56,Juan Ignacio Londero,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=0-100,2013
55,Jordan Thompson,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=0-100,2014
54,Casper Ruud,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=0-100,2016
53,Pablo Cuevas,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=0-100,2004
100,Thiago Monteiro,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=0-100,2016
500,Oscar Jose Gutierrez,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=401-500,0
400,Tomislav Brkic,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=301-400,2011
300,Marcelo Arevalo,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=201-300,2007
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2007
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,hard,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2007
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,grass,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2007
200,Rogerio Dutra Silva,0,0%,26%,8,0%,29%,38%,40%,2,6,33%,2,54%,60%,8,50%,50%,38%,clay,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2007
200,Rogerio Dutra Silva,0,0%,26%,8,0%,29%,38%,40%,2,6,33%,2,54%,60%,8,50%,50%,38%,all,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2007
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2008
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,hard,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2008
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,grass,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2008
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,clay,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2008
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,all,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2008
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2009
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,hard,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2009
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,grass,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2009
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,clay,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2009
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,all,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2009
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2010
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,hard,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2010
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,grass,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2010
200,Rogerio Dutra Silva,6,33%,34%,14,14%,34%,33%,49%,2,5,40%,0,83%,64%,15,80%,63%,59%,clay,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2010
200,Rogerio Dutra Silva,6,33%,34%,14,14%,34%,33%,49%,2,5,40%,0,83%,64%,15,80%,63%,59%,all,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2010
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2011
200,Rogerio Dutra Silva,18,33%,33%,30,20%,38%,48%,49%,4,17,65%,2,48%,70%,28,79%,61%,54%,hard,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2011
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,grass,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2011
200,Rogerio Dutra Silva,2,50%,25%,16,6%,30%,44%,48%,6,8,63%,1,64%,73%,17,82%,63%,45%,clay,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2011
200,Rogerio Dutra Silva,20,35%,31%,46,15%,35%,47%,49%,10,25,64%,3,54%,71%,45,80%,62%,51%,all,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2011
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2012
200,Rogerio Dutra Silva,10,50%,20%,38,13%,31%,51%,48%,27,29,69%,3,59%,70%,38,76%,63%,53%,hard,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2012
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,grass,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2012
200,Rogerio Dutra Silva,36,33%,28%,71,17%,34%,45%,46%,7,44,55%,16,69%,64%,67,70%,59%,49%,clay,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2012
200,Rogerio Dutra Silva,46,37%,25%,109,16%,33%,47%,47%,34,73,60%,19,65%,66%,105,72%,61%,51%,all,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2012
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2013
200,Rogerio Dutra Silva,17,35%,24%,35,17%,37%,50%,46%,5,32,53%,8,58%,60%,36,58%,56%,50%,hard,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2013
200,Rogerio Dutra Silva,4,0%,20%,28,0%,24%,29%,44%,4,12,33%,6,61%,70%,28,71%,63%,53%,grass,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2013
200,Rogerio Dutra Silva,10,50%,28%,33,15%,32%,39%,41%,4,22,36%,6,65%,59%,29,52%,51%,36%,clay,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2013
200,Rogerio Dutra Silva,31,35%,24%,96,11%,32%,41%,44%,13,66,44%,20,61%,63%,93,60%,56%,47%,all,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2013
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2014
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,hard,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2014
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,grass,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2014
200,Rogerio Dutra Silva,10,50%,25%,24,21%,36%,47%,47%,5,19,63%,4,66%,60%,23,70%,57%,50%,clay,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2014
200,Rogerio Dutra Silva,10,50%,25%,24,21%,36%,47%,47%,5,19,63%,4,66%,60%,23,70%,57%,50%,all,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2014
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2015
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,hard,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2015
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,grass,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2015
200,Rogerio Dutra Silva,14,64%,31%,32,28%,42%,58%,47%,9,34,56%,10,58%,57%,31,52%,51%,43%,clay,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2015
200,Rogerio Dutra Silva,14,64%,31%,32,28%,42%,58%,47%,9,34,56%,10,58%,57%,31,52%,51%,43%,all,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2015
200,Rogerio Dutra Silva,,,,,,,,,,,,,,,,,,,carpet,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2016
200,Rogerio Dutra Silva,21,24%,12%,23,22%,28%,43%,47%,12,25,52%,21,52%,67%,23,48%,57%,46%,hard,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2016
200,Rogerio Dutra Silva,7,43%,26%,25,12%,33%,42%,50%,11,9,56%,3,66%,76%,26,85%,67%,50%,grass,https://www.atptour.com/en/rankings/singles/?rankDate=2019-08-19&rankRange=101-200,2016
